Fasta headers	Hippo 42	Hippo 42	Hippo 42	Hippo 45	Hippo 45	Hippo 45	Hippo CH	Hippo CH	Hippo CH	Hippo W3
"tr|B9EKJ1|B9EKJ1_MOUSE Spna2 protein OS=Mus musculus GN=Sptan1 PE=2 SV=1;tr|A3KGU7|A3KGU7_MOUSE Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=1;tr|B2RXX6|B2RXX6_MOUSE Spna2 protein OS=Mus musculus GN=Sptan1 PE=2 SV=1"	26433000	23889000	27115000	33057000	29587000	24361000	28833000	25241000	25669000	17026000
tr|A0A0G2JGX4|A0A0G2JGX4_MOUSE Sodium/potassium-transporting ATPase subunit alpha OS=Mus musculus GN=Atp1a3 PE=1 SV=1;sp|Q6PIC6|AT1A3_MOUSE Sodium/potassium-transporting ATPase subunit alpha-3 OS=Mus musculus GN=Atp1a3 PE=1 SV=1;tr|Q8VCE0|Q8VCE0_MOUSE Sodi	25628000	26556000	26761000	29123000	27836000	22997000	22434000	27031000	24457000	18980000
sp|P68369|TBA1A_MOUSE Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1	26613000	30263000	26168000	26522000	27428000	21542000	18918000	26001000	21563000	15716000
sp|P68372|TBB4B_MOUSE Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1;tr|Q9DCR1|Q9DCR1_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Tubb4b PE=2 SV=2	22586000	24189000	21839000	23467000	23029000	19214000	16395000	21918000	19095000	14967000
"tr|Q4KL81|Q4KL81_MOUSE Actin, gamma, cytoplasmic 1 OS=Mus musculus GN=Actg1 PE=2 SV=1;sp|P63260|ACTG_MOUSE Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1;tr|Q3TSB7|Q3TSB7_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Actg1 PE=2 SV=1;tr"	19073000	20387000	19274000	21192000	21693000	16343000	15698000	19294000	17400000	15013000
sp|Q68FD5|CLH1_MOUSE Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3;tr|Q5SXR6|Q5SXR6_MOUSE Clathrin heavy chain OS=Mus musculus GN=Cltc PE=1 SV=1;tr|Q80U89|Q80U89_MOUSE MKIAA0034 protein (Fragment) OS=Mus musculus GN=mKIAA0034 PE=4 SV=2;tr|Q3UPJ3	20275000	20862000	19316000	19096000	20650000	17319000	13398000	19409000	16269000	12246000
"sp|Q62261|SPTB2_MOUSE Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2;tr|A0A0A0MQG2|A0A0A0MQG2_MOUSE Spectrin beta chain, non-erythrocytic 1 (Fragment) OS=Mus musculus GN=Sptbn1 PE=1 SV=1;sp|Q62261-2|SPTB2_MOUSE Isoform 2 of Spe"	17669000	17580000	18431000	19059000	19786000	15770000	15437000	19139000	16723000	12620000
sp|O08553|DPYL2_MOUSE Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2	14470000	15104000	15186000	17530000	16273000	13186000	13159000	14706000	13604000	7984700
"sp|P56480|ATPB_MOUSE ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2"	12837000	11970000	13649000	17092000	14776000	13095000	14627000	12525000	13210000	8803100
sp|Q9JHU4|DYHC1_MOUSE Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2	15540000	15893000	15786000	14849000	16429000	12932000	11502000	16716000	13893000	8766400
sp|P20357|MTAP2_MOUSE Microtubule-associated protein 2 OS=Mus musculus GN=Map2 PE=1 SV=2;tr|Q3URJ7|Q3URJ7_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Map2 PE=2 SV=1	12690000	11710000	13343000	16838000	14385000	12576000	15152000	12472000	12820000	7162300
tr|Q3UBA6|Q3UBA6_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Hspa8 PE=2 SV=1;sp|P63017|HSP7C_MOUSE Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1;tr|Q3U9L2|Q3U9L2_MOUSE Putative uncharacterized protein OS=Mus musculus GN	12942000	12876000	13515000	16262000	14606000	12637000	13187000	13080000	12906000	9608300
"sp|Q03265|ATPA_MOUSE ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1;tr|D3Z6F5|D3Z6F5_MOUSE ATP synthase subunit alpha OS=Mus musculus GN=Atp5a1 PE=1 SV=1"	13250000	13266000	13350000	14517000	13721000	12036000	11025000	13109000	11865000	11019000
sp|P14873|MAP1B_MOUSE Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2	12437000	11306000	12952000	14725000	14243000	10961000	11421000	11825000	10878000	5695400
tr|A2ARP8|A2ARP8_MOUSE Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=1;sp|Q9QYR6|MAP1A_MOUSE Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=2	12290000	11325000	12642000	14286000	13831000	10602000	11692000	11569000	10690000	7251300
"tr|Q6S392|Q6S392_MOUSE Plectin 3 OS=Mus musculus GN=Plec PE=2 SV=1;sp|Q9QXS1-12|PLEC_MOUSE Isoform PLEC-1E of Plectin OS=Mus musculus GN=Plec;sp|Q9QXS1-11|PLEC_MOUSE Isoform PLEC-1E,2A of Plectin OS=Mus musculus GN=Plec;tr|Q6S388|Q6S388_MOUSE Plectin 7 OS="	12738000	12325000	13290000	13016000	13652000	10881000	10339000	13000000	11685000	7889900
"tr|Q3TYV5|Q3TYV5_MOUSE 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Mus musculus GN=Cnp PE=2 SV=1;sp|P16330|CN37_MOUSE 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Mus musculus GN=Cnp PE=1 SV=3"	13673000	14252000	13266000	13043000	13948000	9012800	8673700	11499000	9166800	6060700
sp|P52480|KPYM_MOUSE Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4	11963000	13113000	12085000	12446000	12844000	10457000	9282100	11995000	10443000	9493900
sp|P46460|NSF_MOUSE Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2	11744000	12228000	12140000	12594000	12462000	10419000	9375100	12060000	10392000	9086700
tr|D2KHZ9|D2KHZ9_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=GAPDH PE=2 SV=1;sp|P16858|G3P_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2;tr|S4R1W1|S4R1W1_MOUSE Glyceraldehyde-3-phosphate dehydrogena	13243000	12338000	10896000	12072000	11400000	10878000	8342100	11624000	10215000	7764200
tr|Q5FWB7|Q5FWB7_MOUSE Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoa PE=1 SV=1;sp|P05064|ALDOA_MOUSE Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2;tr|A6ZI44|A6ZI44_MOUSE Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldo	10488000	10606000	10630000	12100000	11093000	9688700	8948700	10382000	9491200	7602900
"tr|Q5FW97|Q5FW97_MOUSE Enolase 1, alpha non-neuron OS=Mus musculus GN=EG433182 PE=1 SV=1;sp|P17182|ENOA_MOUSE Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3;tr|Q6PHC1|Q6PHC1_MOUSE Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=1"	8900400	9514700	9696700	11738000	11242000	9304200	9421700	9401000	9219400	9178900
sp|P63101|1433Z_MOUSE 14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1;tr|Q8BWN0|Q8BWN0_MOUSE Putative uncharacterized protein OS=Mus musculus PE=2 SV=1;tr|D3YXN6|D3YXN6_MOUSE 14-3-3 protein zeta/delta (Fragment) OS=Mus musculus GN=Ywhaz PE=1 S	9974600	10624000	10295000	11488000	11319000	9223400	9161600	10213000	9273400	8323700
sp|P39053-4|DYN1_MOUSE Isoform 4 of Dynamin-1 OS=Mus musculus GN=Dnm1;sp|P39053-5|DYN1_MOUSE Isoform 5 of Dynamin-1 OS=Mus musculus GN=Dnm1;sp|P39053|DYN1_MOUSE Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=2	10948000	11097000	10414000	10867000	11332000	9288000	8218800	10601000	9458400	8356700
sp|O88935|SYN1_MOUSE Synapsin-1 OS=Mus musculus GN=Syn1 PE=1 SV=2;sp|O88935-3|SYN1_MOUSE Isoform 3 of Synapsin-1 OS=Mus musculus GN=Syn1	10344000	10578000	10527000	11059000	11030000	9137600	8631400	10193000	9128400	7424700
tr|F8WIS9|F8WIS9_MOUSE Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Mus musculus GN=Camk2a PE=1 SV=1	11515000	13199000	10634000	10631000	11382000	8811000	7502200	10508000	8528100	7711100
tr|Q5SS40|Q5SS40_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ywhae PE=1 SV=1;sp|P62259|1433E_MOUSE 14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1;tr|Q8BPH1|Q8BPH1_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ywhae PE=2	9263700	9563800	9880300	11203000	10713000	8574400	8989300	9316000	8660600	6204400
tr|Q3UYM8|Q3UYM8_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Plp1 PE=2 SV=1;sp|P60202|MYPR_MOUSE Myelin proteolipid protein OS=Mus musculus GN=Plp1 PE=1 SV=2;tr|Q62079|Q62079_MOUSE Myelin proteolipid OS=Mus musculus GN=Plp1 PE=2 SV=1;sp|P6020	11165000	11831000	10445000	11636000	11529000	7245000	7099400	9001300	7605500	7241200
sp|O08599|STXB1_MOUSE Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2	10296000	10903000	10879000	10335000	10808000	8928400	8072600	11151000	9216400	6734000
"tr|Q6GQU1|Q6GQU1_MOUSE Hexokinase 1, isoform CRA_d OS=Mus musculus GN=Hk1 PE=2 SV=1;tr|Q3TJE3|Q3TJE3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Hk1 PE=2 SV=1;sp|P17710-3|HXK1_MOUSE Isoform HK1 of Hexokinase-1 OS=Mus musculus GN=Hk1;tr|G3UVV4"	10385000	11462000	10531000	10036000	10661000	9101000	7318100	10732000	9006400	9656100
sp|Q9QYX7|PCLO_MOUSE Protein piccolo OS=Mus musculus GN=Pclo PE=1 SV=4;sp|Q9QYX7-2|PCLO_MOUSE Isoform 2 of Protein piccolo OS=Mus musculus GN=Pclo	8459800	8214300	8948500	10328000	9755600	7713800	8578900	8100300	7814300	4020300
sp|P0DP28|CALM3_MOUSE Calmodulin-3 OS=Mus musculus GN=Calm3 PE=1 SV=1;sp|P0DP27|CALM2_MOUSE Calmodulin-2 OS=Mus musculus GN=Calm2 PE=1 SV=1;sp|P0DP26|CALM1_MOUSE Calmodulin-1 OS=Mus musculus GN=Calm1 PE=1 SV=1;tr|Q3UKW2|Q3UKW2_MOUSE Calmodulin-1 OS=Mus mus	10244000	7456400	10189000	11925000	11058000	4649000	10937000	9112500	8719100	6125100
sp|Q91XV3|BASP1_MOUSE Brain acid soluble protein 1 OS=Mus musculus GN=Basp1 PE=1 SV=3	7872300	6521000	8360500	10685000	9215500	6521800	11237000	7573800	8051300	4005100
sp|Q04447|KCRB_MOUSE Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1	8276500	9074000	9341500	9455800	9800200	7139200	7780400	7851500	7391500	5611400
sp|Q8C8R3-4|ANK2_MOUSE Isoform 4 of Ankyrin-2 OS=Mus musculus GN=Ank2;tr|S4R2R5|S4R2R5_MOUSE Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=3;sp|Q8C8R3|ANK2_MOUSE Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2;sp|Q8C8R3-5|ANK2_MOUSE Isoform 5 of Ankyrin-2 OS=Mus m	8290300	8526700	8906600	9070200	9645400	7459400	7358300	9114100	7810900	4294100
tr|Q68FG2|Q68FG2_MOUSE Spectrin beta chain OS=Mus musculus GN=Sptbn2 PE=1 SV=1;tr|Q3UGZ4|Q3UGZ4_MOUSE Spectrin beta chain OS=Mus musculus GN=Sptbn2 PE=2 SV=1;tr|Q6A087|Q6A087_MOUSE MKIAA0302 protein (Fragment) OS=Mus musculus GN=Sptbn2 PE=2 SV=1	8848200	9011300	8984400	8756700	9840200	7367900	6963200	8633400	7706800	5217200
"tr|A0A0R4J036|A0A0R4J036_MOUSE Neurofilament 3, medium OS=Mus musculus GN=Nefm PE=1 SV=1;sp|P08553|NFM_MOUSE Neurofilament medium polypeptide OS=Mus musculus GN=Nefm PE=1 SV=4;tr|D3YZ35|D3YZ35_MOUSE Neurofilament medium polypeptide OS=Mus musculus GN=Nefm "	7723200	7282500	8786100	10017000	9485900	6350400	9256500	6923500	7021500	4308900
"tr|Q543S2|Q543S2_MOUSE Guanine nucleotide binding protein, alpha o, isoform CRA_b OS=Mus musculus GN=Gnao1 PE=2 SV=1;sp|P18872|GNAO_MOUSE Guanine nucleotide-binding protein G(o) subunit alpha OS=Mus musculus GN=Gnao1 PE=1 SV=3;tr|D3Z2M7|D3Z2M7_MOUSE Guanin"	8384100	8498900	8837800	8944800	9283300	7338300	7066300	8863300	7743000	6435900
tr|B1ARU4|B1ARU4_MOUSE Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=1;tr|E9PVY8|E9PVY8_MOUSE Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2;tr|A0A0A0MQA6|A0A0A0MQA6_MOUSE Microtubule-actin cross-lin	7652500	7548800	8068800	8001900	8783500	6875600	6121100	7938000	6886700	3446100
"sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1"	7948700	8474300	8026000	8015100	8155600	7201100	5838100	8448300	6895500	6134300
sp|O88737|BSN_MOUSE Protein bassoon OS=Mus musculus GN=Bsn PE=1 SV=4;sp|O88737-2|BSN_MOUSE Isoform 2 of Protein bassoon OS=Mus musculus GN=Bsn	6647200	6569600	7277100	8561400	7857100	6339400	7312700	6390500	6255500	3525700
tr|Q546G4|Q546G4_MOUSE Albumin 1 OS=Mus musculus GN=Alb PE=1 SV=1;sp|P07724|ALBU_MOUSE Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3	6826600	5694500	6244000	8226200	7799200	5893100	5137900	4957900	4997900	3759700
tr|F6RT34|F6RT34_MOUSE Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1;sp|P04370-4|MBP_MOUSE Isoform 4 of Myelin basic protein OS=Mus musculus GN=Mbp;tr|F6VME3|F6VME3_MOUSE Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1;s	8049500	9089700	7401400	7478400	9032700	5386900	5167200	7019400	6461300	6395700
sp|P50516|VATA_MOUSE V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2;sp|P50516-2|VATA_MOUSE Isoform 2 of V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a	7012200	7192900	7387300	7756600	7793400	6345800	6075600	7130300	6437700	5073700
sp|P09411|PGK1_MOUSE Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4;tr|S4R2M7|S4R2M7_MOUSE Phosphoglycerate kinase OS=Mus musculus GN=Pgk1 PE=1 SV=1	6429600	6675300	6786100	8321500	7318100	6096000	6639300	6457800	6185200	4339300
tr|Q5SWR1|Q5SWR1_MOUSE AP complex subunit beta OS=Mus musculus GN=Ap2b1 PE=2 SV=1;sp|Q9DBG3|AP2B1_MOUSE AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1 PE=1 SV=1;sp|Q9DBG3-2|AP2B1_MOUSE Isoform 2 of AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1;tr|	7693600	7199000	7471900	7478500	7619800	6492000	5458600	7400300	6302700	3634300
