Fasta headers	Hypo 42	Hypo 42	Hypo 42	Hypo 45	Hypo 45	Hypo 45	Hypo CH	Hypo CH	Hypo CH	Hypo W3
tr|A0A1V0DNR6|A0A1V0DNR6_MOUSE PTENbeta OS=Mus musculus GN=PTEN PE=2 SV=1;tr|A0A024QYR9|A0A024QYR9_MOUSE Mitochondrial PTENalpha OS=Mus musculus GN=Pten PE=2 SV=1;sp|O08586|PTEN_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specific	17246000	15581000	16284000	18563000	14314000	18730000	23910000	15732000	18622000	9717300
tr|F6YMV1|F6YMV1_MOUSE Angiomotin (Fragment) OS=Mus musculus GN=Amot PE=1 SV=1;tr|A0A067XG49|A0A067XG49_MOUSE Angiomotin OS=Mus musculus GN=Amot PE=1 SV=1;tr|F6QYS7|F6QYS7_MOUSE Angiomotin (Fragment) OS=Mus musculus GN=Amot PE=1 SV=1;sp|Q8VHG2-2|AMOT_MOUSE	15839000	15105000	14560000	15823000	18066000	16466000	22668000	14026000	16802000	8291900
tr|G3UXN4|G3UXN4_MOUSE KN motif and ankyrin repeat domain-containing protein 3 OS=Mus musculus GN=Kank3 PE=1 SV=1;tr|A0A068BD58|A0A068BD58_MOUSE Putative KN motif and ankyrin repeat domains 3 isoform 1 OS=Mus musculus GN=Kank3 PE=2 SV=1;tr|A0A068BFV2|A0A06	17254000	18016000	15712000	16439000	24204000	17754000	26428000	16964000	19850000	9837700
tr|A0A068BEQ2|A0A068BEQ2_MOUSE H2-K region expressed gene 6, isoform CRA_a OS=Mus musculus GN=H2-Ke6 PE=2 SV=1;sp|P50171|DHB8_MOUSE Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus GN=Hsd17b8 PE=1 SV=2;sp|P50171-2|DHB8_MOUSE Isoform Long of Estradiol 17-b	17353000	18025000	16542000	17816000	34416000	18343000	27365000	17227000	21197000	11035000
tr|Q78ZJ8|Q78ZJ8_MOUSE MCG22989, isoform CRA_b OS=Mus musculus GN=Rab11b PE=1 SV=1;tr|A0A068BFR3|A0A068BFR3_MOUSE RAS oncogene family protein OS=Mus musculus GN=Rab11b PE=2 SV=1;sp|P46638|RB11B_MOUSE Ras-related protein Rab-11B OS=Mus musculus GN=Rab11b PE	10820000	10184000	10053000	10116000	21243000	10789000	16171000	10027000	11761000	6072200
tr|A0A068BFS4|A0A068BFS4_MOUSE Ring finger protein 1 OS=Mus musculus GN=Ring1 PE=2 SV=1;sp|O35730|RING1_MOUSE E3 ubiquitin-protein ligase RING1 OS=Mus musculus GN=Ring1 PE=1 SV=2;sp|O35730-3|RING1_MOUSE Isoform 3 of E3 ubiquitin-protein ligase RING1 OS=Mus	14776000	16159000	14123000	14138000	15937000	15234000	22860000	14740000	17554000	8122400
tr|A0A068BGT0|A0A068BGT0_MOUSE Vacuolar protein sorting 52 OS=Mus musculus GN=Vps52 PE=2 SV=1;sp|Q8C754|VPS52_MOUSE Vacuolar protein sorting-associated protein 52 homolog OS=Mus musculus GN=Vps52 PE=1 SV=1;tr|Q3V3A4|Q3V3A4_MOUSE Putative uncharacterized pr	13370000	13359000	12701000	13700000	11521000	14280000	21251000	13301000	15922000	6724800
tr|Q5XW50|Q5XW50_MOUSE Tapasin (Fragment) OS=Mus musculus GN=Tapbp PE=2 SV=1;tr|Q5XW47|Q5XW47_MOUSE Tapasin (Fragment) OS=Mus musculus GN=Tapbp PE=2 SV=1;tr|Q8C6N4|Q8C6N4_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Tapbp PE=2 SV=1;	10008000	9466000	9360200	10279000	10832000	10706000	14246000	9371700	11089000	5657600
tr|Q14C53|Q14C53_MOUSE Solute carrier family 39 (Zinc transporter), member 7 OS=Mus musculus GN=Slc39a7 PE=2 SV=1;tr|A0A068BIT0|A0A068BIT0_MOUSE Solute carrier family 39 OS=Mus musculus GN=Slc39a7 PE=1 SV=1;sp|Q31125|S39A7_MOUSE Zinc transporter SLC39A7 OS	13079000	11794000	11749000	14045000	14811000	14133000	16586000	11299000	13465000	8030000
tr|A0A068BIT8|A0A068BIT8_MOUSE Proteasome subunit beta type OS=Mus musculus GN=Psmb8 PE=2 SV=1;sp|P28063|PSB8_MOUSE Proteasome subunit beta type-8 OS=Mus musculus GN=Psmb8 PE=1 SV=2	14613000	15448000	13283000	13638000	17508000	14873000	23984000	15088000	18328000	8006800
tr|F7BTZ2|F7BTZ2_MOUSE Protein PML (Fragment) OS=Mus musculus GN=Pml PE=1 SV=1;tr|D3Z3A6|D3Z3A6_MOUSE Protein PML OS=Mus musculus GN=Pml PE=1 SV=1;tr|D3YXR5|D3YXR5_MOUSE Protein PML OS=Mus musculus GN=Pml PE=1 SV=1;tr|A0A068EW80|A0A068EW80_MOUSE Promyelocy	8517800	7268700	7753200	8653000	10338000	9070800	11379000	7059000	8581900	4237000
